#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
angular_displacement	koNIya_visWApana#koNIya_visWApana#noun#2#RM
angular_momentum	koNIya_saMvega#koNIya_saMvega#noun#2#RM
angular_thrust	koNIya_praNoxa/koNIya_Wrasta#koNIya_praNoxa/koNIya_Wrasta#noun#2#RM
annual_load_factor	vArRika_loda_guNaka#vArRika_loda_guNaka#noun#3#RM
annular_ring	valayAkAra_riMga#valayAkAra_riMga#noun#2#RM
anti-climbing_device	prawyArohaNa_yukwi#prawyArohaNa_yukwi#noun#2#RM
anti_pollution_drive	praxURaNaroXI_aBiyAna#praxURaNaroXI_aBiyAna#noun#3#RM
anti_syphonage_pipe	sAiPana_(kriyA)_roXI_pAipa#sAiPana_(kriyA)_roXI_pAipa#noun#3#RM
apparent_energy	ABAsI_UrjA#ABAsI_UrjA#noun#2#RM
apparent_expansion	ABAsI_prasAra#ABAsI_prasAra#noun#2#RM
apparent_factor_of_safety	ABAsI_surakRAfka#ABAsI_surakRAfka#noun#4#RM
applied_hydrology	anuprayukwa_jalavijFAna#anuprayukwa_jalavijFAna#noun#2#RM
approach_road	pahuFca_mArga/samparka_mArga#pahuFca_mArga/samparka_mArga#noun#2#RM
approved_contractor	anumoxiwa_TekexAra#anumoxiwa_TekexAra#noun#2#RM
approximate_analysis	sannikata_viSleRaNa#sannikata_viSleRaNa#noun#2#RM
aqua_ammonia	amoniyA_jala#amoniyA_jala#noun#2#RM
arc_control_error	Arka_niyanwraNa_wruti#Arka_niyanwraNa_wruti#noun#3#RM
